::ffff:127.0.0.1 - - [30/Dec/2023:02:43:10 +0000] "POST /api/auth/register HTTP/1.1" 200 238 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:44:27 +0000] "POST /api/auth/register HTTP/1.1" 200 238 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:44:57 +0000] "POST /api/auth/register HTTP/1.1" 200 238 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:50:17 +0000] "POST /api/auth/register HTTP/1.1" 400 41 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:52:25 +0000] "POST /api/auth/register HTTP/1.1" 500 140 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:52:56 +0000] "POST /api/auth/register HTTP/1.1" 500 140 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:53:37 +0000] "POST /api/auth/register HTTP/1.1" 404 56 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:54:37 +0000] "POST /api/auth/register HTTP/1.1" 200 238 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:03:06:15 +0000] "POST /api/auth/login HTTP/1.1" 200 236 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:03:54:08 +0000] "PUT /api/auth/details HTTP/1.1" 401 62 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:03:54:42 +0000] "POST /api/auth/login HTTP/1.1" 200 236 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:03:55:09 +0000] "PUT /api/auth/details HTTP/1.1" 200 301 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:03:55:21 +0000] "PUT /api/auth/details HTTP/1.1" 200 299 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:04:02:27 +0000] "PUT /api/auth/password HTTP/1.1" 401 62 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:04:02:40 +0000] "PUT /api/auth/password HTTP/1.1" 200 299 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:04:02:51 +0000] "POST /api/auth/login HTTP/1.1" 401 46 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:04:03:02 +0000] "POST /api/auth/login HTTP/1.1" 200 236 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:04:06:28 +0000] "POST /api/auth/login HTTP/1.1" 200 236 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:04:06:51 +0000] "POST /api/auth/login HTTP/1.1" 200 236 "-" "PostmanRuntime/7.35.0"
